text,font_size,x0,y0,page,is_bold,is_uppercase,text_length,label
Application form for grant of LTC advance,11.67,199.8600006,106.0783615,1,TRUE,FALSE,41,title
1,9.74,70.01999664,135.9352875,1,TRUE,FALSE,2,body
Name of the Government Servant,9.74,95.99856567,132.9924774,1,FALSE,FALSE,30,body
2,9.74,70.01999664,154.0501556,1,TRUE,FALSE,2,body
Designation,9.74,95.99856567,151.0488739,1,FALSE,FALSE,11,body
3,9.74,70.01999664,180.9252167,1,TRUE,FALSE,2,body
Date of entering the Central Government,9.74,95.99856567,169.1637421,1,FALSE,FALSE,39,body
Service,9.74,95.99856567,186.7426605,1,FALSE,FALSE,7,body
4,9.74,70.01999664,207.8002777,1,TRUE,FALSE,2,body
PAY + SI + NPA,9.74,95.99856567,204.8574677,1,FALSE,TRUE,14,body
5,9.74,70.01999664,225.9151459,1,TRUE,FALSE,2,body
Whether permanent or temporary,9.74,95.99856567,222.9138641,1,FALSE,FALSE,30,body
6,9.74,70.01999664,241.0969086,1,TRUE,FALSE,2,body
Home Town as recorded in the Service Book,9.74,95.99856567,241.0969086,1,FALSE,FALSE,41,body
7,9.74,70.01999664,265.0389404,1,TRUE,FALSE,2,body
Whether wife / husband is employed and if,9.74,95.99856567,253.2774506,1,FALSE,FALSE,41,body
so whether entitled to LTC,9.74,95.99856567,270.8563843,1,FALSE,FALSE,26,body
8,9.74,70.01999664,309.5611572,1,TRUE,FALSE,2,body
Whether the concession is to be availed for,9.74,95.99856567,288.980957,1,FALSE,FALSE,43,body
visiting home town and if so block for which,9.74,95.99856567,306.5598755,1,FALSE,FALSE,44,body
LTC is to be availed.,9.74,95.99856567,324.1972046,1,FALSE,FALSE,21,body
9,9.74,70.01999664,362.8337402,1,TRUE,FALSE,2,body
(a) If the concession is to visit anywhere in,9.74,95.99856567,342.2536011,1,FALSE,FALSE,45,body
"India, the place to be visited.",9.74,95.99856567,359.8909302,1,FALSE,FALSE,31,body
(b) Block for which to be availed.,9.74,95.99856567,377.4698486,1,FALSE,FALSE,34,body
10,9.74,70.01999664,416.1745605,1,TRUE,FALSE,3,body
Single,9.74,95.99856567,395.5944214,1,FALSE,FALSE,6,body
rail,9.74,136.1386719,395.5944214,1,FALSE,FALSE,4,body
fare/bus,9.74,163.6003571,395.5944214,1,FALSE,FALSE,8,body
fare,9.74,213.7070465,395.5944214,1,FALSE,FALSE,4,body
from,9.74,244.8404083,395.5944214,1,FALSE,FALSE,4,body
the,9.74,279.2371521,395.5944214,1,FALSE,FALSE,3,body
headquarters to home town/place of visit by,9.74,95.99856567,413.1732788,1,FALSE,FALSE,43,body
shortest route.,9.74,95.99856567,430.7521973,1,FALSE,FALSE,15,body
11,9.74,70.01999664,498.6121826,1,TRUE,FALSE,3,body
Persons in respect of whom LTC is proposed to be availed.,9.74,95.99856567,448.9352417,1,FALSE,FALSE,57,body
S.No,9.74,95.99856567,464.0585327,1,TRUE,FALSE,4,body
Name,9.74,211.4122009,464.0585327,1,TRUE,FALSE,4,body
Age,9.74,343.4770813,464.0585327,1,TRUE,FALSE,3,body
Relationship,9.74,444.5849609,464.0585327,1,TRUE,FALSE,12,body
1,9.74,103.6283875,476.2390747,1,TRUE,FALSE,2,body
2,9.74,103.6283875,488.4780273,1,TRUE,FALSE,2,body
3,9.74,103.6283875,500.6585083,1,TRUE,FALSE,2,body
4,9.74,103.6283875,512.9559326,1,TRUE,FALSE,2,body
5,9.74,103.6283875,529.4532471,1,TRUE,FALSE,2,body
6,9.74,103.6283875,541.6921997,1,TRUE,FALSE,2,body
12.Amount of advance required.,9.74,70.0296936,561.1322632,1,TRUE,FALSE,30,body
